t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp,llm_rank,llm_selected,llm_confidence
2023-08-28,202308,3,3110102044,31101030579,1691997417207,99765088,125,PUJA TOBACCO PACKING INDUSTRIES,TAZA,TAZA SUPER POWER PPH 8GM,20,8 GM,PPH,,1691997417207-puja tobacco packing industries-taza#3.png,RECODING,5,1,99765088,108.51405,125,KHAINI,KHAINI,KHAINI,PUJA TOBACCO PACKING INDUSTRIES,TAZA SUPER POWER,TAZA SUPER POWER,8G KHAINI,PLAST,8G,REGULAR,,8.0,GM,20.0,1,True,high
2023-08-16,202308,3,3110104258,31101030546,1691997417207,99765088,125,PUJA TOBACCO PACKING INDUSTRIES,TAZA,TAZA SUPER POWER PPH 8GM,20,8 GM,PPH,,1691997417207-puja tobacco packing industries-taza#3.png,RECODING,5,1,99765088,108.51405,125,KHAINI,KHAINI,KHAINI,PUJA TOBACCO PACKING INDUSTRIES,TAZA SUPER POWER,TAZA SUPER POWER,8G KHAINI,PLAST,8G,REGULAR,,8.0,GM,20.0,1,True,high
2023-08-21,202308,3,3110105419,31101030580,1691997417207,99765088,125,PUJA TOBACCO PACKING INDUSTRIES,TAZA,TAZA SUPER POWER PPH 8GM,20,8 GM,PPH,,1691997417207-puja tobacco packing industries-taza#3.png,RECODING,5,1,99765088,108.51405,125,KHAINI,KHAINI,KHAINI,PUJA TOBACCO PACKING INDUSTRIES,TAZA SUPER POWER,TAZA SUPER POWER,8G KHAINI,PLAST,8G,REGULAR,,8.0,GM,20.0,1,True,high
2023-08-21,202308,2,130911248,31101020091,1692258062571,99765087,134,POKHARA NATURAL FOOD & BEVERAGE-NP,GLAZE,GLAZ PBT 500ML,20,500ML,PBT,,1692258062571-pokhara natural food - beverage-np-glaze#3.png,RECODING,5,1,99765087,127.002914,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,POKHARA NATURAL FOOD & BEVERAGE-NP,GLAZE,GLAZE,PET 500 ML,PET,500.000 ML,,,500.0,ML,25.0,1,True,high
2023-08-28,202308,3,1023173737366,21104030039,1693031499700,99765090,105,SURYA NEPAL PVT LTD - NEPAL,DUAL ,SURYA DUAL,320,20,MEDIUM,Sales Deviation is OK,1693031499700-surya nepal pvt ltd - nepal-dual #3.png,RECODING,5,1,99765090,116.621,105,CIGARETTE,,,SURYA NEPAL PVT LTD - NEPAL,SURYA,SURYA DUAL BURST,HL 20'S,HL,20,FRESH,,20.0,NO,320.0,1,True,high
2023-08-28,202308,2,116312313,11302020008,1693033865829,99765089,134,DHANKUTA AGRO TOURISM & FUN VALLEY PVT LTD NEPAL,DHANKUTELI MULKO,DHANKUTELI MULKO PET 750ML +100ML FREE,25,750ML,PET,Sales Deviation is OK,1693033865829-dhankuta agro tourism - fun valley pvt ltd nepal-dhankuteli mulko#3.png,RECODING,5,1,99765089,147.95004,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,DHANKUTA AGRO TOURISM & FUN VALLEY-NPL,DHANKUTELI MULKO,DHANKUTELI MULKO,PET 750 ML+100 ML FREE,PET,750.000 ML,,,850.0,ML,25.0,1,True,high
2023-08-28,202308,2,117158265,11302020009,1693033865829,99765089,134,DHANKUTA AGRO TOURISM & FUN VALLEY PVT LTD NEPAL,DHANKUTELI MULKO,DHANKUTELI MULKO PET 750ML +100ML FREE,25,750ML,PET,Sales Deviation is OK,,RECODING,5,1,99765089,147.95004,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,DHANKUTA AGRO TOURISM & FUN VALLEY-NPL,DHANKUTELI MULKO,DHANKUTELI MULKO,PET 750 ML+100 ML FREE,PET,750.000 ML,,,850.0,ML,25.0,1,True,high
2023-08-28,202308,2,117186046,11302020003,1693033865829,99765089,134,DHANKUTA AGRO TOURISM & FUN VALLEY PVT LTD NEPAL,DHANKUTELI MULKO,DHANKUTELI MULKO PET 750ML +100ML FREE,25,750ML,PET,,,RECODING,5,1,99765089,147.95004,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,DHANKUTA AGRO TOURISM & FUN VALLEY-NPL,DHANKUTELI MULKO,DHANKUTELI MULKO,PET 750 ML+100 ML FREE,PET,750.000 ML,,,850.0,ML,25.0,1,True,high
2023-08-30,202308,2,116313561,11301020007,1693192643948,99765039,118,PATHIBHARA FOOD & PCKNG UDY-NP,MOTION DEW,MOTION DEW PET 600ML ,80,600ML,PET,,,RECODING,5,3,99765039,88.419174,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,PATHIBHARA FOOD & PCKNG UDY-NP,MOTION DEW,MOTION DEW,PET 250 ML,PET,250.000 ML,LEMON,,250.0,ML,45.0,3,True,high
2023-08-30,202308,2,116304492,11301020014,1693193351088,99765085,134,LIFE FOOD & BEVERAGE-NEPAL,REBOOST,REBOOST NON CARBONATED ENERGY DRINK CAN 250ML,120,250ML,CAN,Sales Deviation is OK,,RECODING,5,1,99765085,79.28319,118,SOFT DRINKS-NP,SOFT DRINKS,ENERGY DRINK,LIFE FOOD & BEVERAGE-NEPAL,REBOOST,REBOOST,CAN 250 ML,CAN,250.000 ML,,,250.0,ML,120.0,1,True,high
2023-08-30,202308,2,116313561,11301020007,1693193351088,99765085,134,LIFE FOOD & BEVERAGE-NEPAL,REBOOST,REBOOST NON CARBONATED ENERGY DRINK CAN 250ML,120,250ML,CAN,,,RECODING,5,1,99765085,79.28319,118,SOFT DRINKS-NP,SOFT DRINKS,ENERGY DRINK,LIFE FOOD & BEVERAGE-NEPAL,REBOOST,REBOOST,CAN 250 ML,CAN,250.000 ML,,,250.0,ML,120.0,1,True,high
